Wall time,Step,Value
1691316582.204148,25,0.8065478205680847
1691316856.3867922,55,0.8436378240585327
1691316986.3781343,70,0.7701223492622375
1691317027.9190192,75,0.8164464235305786
1691317149.5744803,90,0.7973454594612122
1691317375.5776305,120,0.8764362335205078
1691318967.361988,180,0.9069787859916687
1691319114.6493733,200,0.9076384902000427
1691319187.3790553,210,0.8686855435371399
1691319260.854971,220,0.9742724299430847
1691319297.4497256,225,0.9431377053260803
1691319370.7864947,235,1.0263727903366089
1691320696.5681145,265,1.1533844470977783
1691320732.0739226,270,1.158661961555481
1691320767.8934124,275,1.1343791484832764
1691320804.227839,280,1.2018786668777466
1691321119.8118157,325,1.1825180053710938
1691321223.2347941,340,1.1446841955184937
1691321327.6856964,355,1.0785632133483887
1691321363.0475695,360,1.0286753177642822
1691321397.6623268,365,1.0569355487823486
1691321431.7776763,370,1.0377293825149536
1691322659.9181397,395,1.0809171199798584
1691322936.8770554,435,1.2293574810028076
1691323183.041611,470,1.3158470392227173
1691324523.5154173,510,1.3138424158096313
1691324628.814007,525,1.248123049736023
1691324663.593338,530,1.325335144996643
1691324904.6653652,565,1.152860164642334
1691325078.0025456,590,1.201274037361145
1691326305.4912493,630,1.308966875076294
1691326405.7138307,645,1.2561863660812378
1691326439.5545719,650,1.2731142044067383
1691326745.2821589,695,1.2129709720611572
1691326813.4921677,705,1.1915336847305298
1691326848.9992533,710,1.145654559135437
1691326883.7340395,715,1.2366774082183838
1691328177.1832738,750,1.1750036478042603
1691328344.91194,775,1.22362220287323
1691328411.1594207,785,1.1878994703292847
1691328445.485136,790,1.2020663022994995
1691328579.8833265,810,1.2144179344177246
1691328748.976251,835,1.1567379236221313
1691328782.8741243,840,1.168108582496643
1691328883.1470017,855,1.2047779560089111
1691330109.6642928,885,1.2740564346313477
1691330143.5540373,890,1.2213441133499146
1691330208.8050776,900,1.2177646160125732
1691330309.0685532,915,1.2412017583847046
1691330374.2264085,925,1.2470875978469849
1691330407.681598,930,1.269408941268921
1691330472.9873137,940,1.34377121925354
1691330539.1215763,950,1.2512787580490112
1691330571.9265747,955,1.2653533220291138
1691330804.006022,990,1.2621349096298218
1691332046.217365,1030,1.2655950784683228
1691332078.990012,1035,1.2372581958770752
1691332112.0115316,1040,1.1950409412384033
1691332243.0399663,1060,1.2417398691177368
1691332573.2879064,1110,1.3112798929214478
1691332606.7837512,1115,1.2419302463531494
1691333655.8986788,1125,1.2864463329315186
1691333786.8606226,1145,1.3043218851089478
1691333885.8527985,1160,1.3707886934280396
1691333919.57864,1165,1.359926700592041
1691333952.8358362,1170,1.259847640991211
1691334052.1730027,1185,1.2575334310531616
1691334440.912358,1245,1.2700157165527344
1691335603.7825174,1275,1.2782409191131592
1691335705.2343729,1290,1.225507378578186
1691335770.7819676,1300,1.2756595611572266
1691335800.8151963,1305,1.294020175933838
1691335866.9160821,1315,1.237760305404663
1691335997.9032655,1335,1.3637535572052002
1691336128.7744827,1355,1.2430269718170166
1691336193.1598163,1365,1.3143211603164673
1691337224.7210684,1390,1.3364619016647339
1691337672.491208,1460,1.375378131866455
1691337836.6382344,1485,1.40424382686615
1691337869.021125,1490,1.3842779397964478
1691338867.855474,1510,1.3844424486160278
1691338900.8167982,1515,1.3754425048828125
1691339027.472541,1535,1.4255280494689941
1691339059.6751454,1540,1.3662234544754028
1691339124.4255533,1550,1.4091219902038574
1691339211.7544758,1565,1.3908237218856812
1691339371.7047553,1590,1.4078412055969238
1691339403.7365768,1595,1.344586730003357
1691339434.670041,1600,1.4097541570663452
1691340480.0951803,1625,1.3895001411437988
1691340512.1538384,1630,1.3679966926574707
1691340545.0087109,1635,1.3692950010299683
1691340641.3578987,1650,1.3499646186828613
1691340924.660065,1695,1.3640192747116089
1691340989.4336934,1705,1.3742822408676147
1691341185.8223245,1735,1.407658338546753
1691342491.8171732,1800,1.397216796875
1691342615.5667684,1815,1.4285621643066406
1691342775.7859595,1835,1.4011390209197998
1691342920.0620031,1855,1.318220615386963
1691342988.6434038,1865,1.3823390007019043
1691344192.6205702,1885,1.3050153255462646
1691344226.6355176,1890,1.401540756225586
1691344260.8313482,1895,1.4462718963623047
1691344329.6011653,1905,1.4658679962158203
1691344501.061003,1930,1.289467215538025
1691344666.925882,1955,1.3623489141464233
1691344698.8134432,1960,1.4491561651229858
1691346189.1287782,2040,1.32764732837677
1691346411.4600847,2075,1.3168761730194092
1691346603.0893016,2105,1.3948856592178345
1691346635.3787694,2110,1.3725603818893433
1691346693.296915,2120,1.4740898609161377
1691347845.7768667,2150,1.406977891921997
1691348097.1539855,2195,1.5037999153137207
1691348162.5680604,2205,1.4000903367996216
1691348192.3659406,2210,1.4025570154190063
1691348276.012731,2225,1.4262248277664185
1691349434.8099773,2255,1.446628451347351
1691349681.0691886,2295,1.4567171335220337
1691349711.9778936,2300,1.4146959781646729
1691349801.8988807,2315,1.3935600519180298
1691349833.6522553,2320,1.4243206977844238
1691350089.568175,2365,1.4166719913482666
1691350121.9590194,2370,1.3953343629837036
1691351348.3620477,2425,1.414864420890808
1691351441.1659698,2440,1.3821923732757568
1691351473.4986987,2445,1.42551851272583
1691351532.3995035,2455,1.3790990114212036
1691351586.1561663,2465,1.3944770097732544
1691352882.1675386,2535,1.3863534927368164
1691353038.7518997,2560,1.4167978763580322
1691353096.9139326,2570,1.4049936532974243
1691353188.2493043,2585,1.3933446407318115
1691353249.0560534,2595,1.4475665092468262
1691353395.22733,2620,1.3654695749282837
1691354381.9306428,2625,1.3115261793136597
1691354565.7808416,2655,1.5108180046081543
1691354619.2886584,2665,1.4211536645889282
1691354642.5100746,2670,1.410061240196228
1691354700.649206,2680,1.459999918937683
1691354723.3246655,2685,1.4224745035171509
1691354817.9353783,2700,1.4302641153335571
1691354879.8287132,2710,1.4219720363616943
1691355032.0558057,2735,1.3862265348434448
1691355062.9400525,2740,1.458343505859375
1691356298.0844886,2785,1.438085913658142
1691356366.079726,2795,1.360830307006836
1691356492.2533038,2815,1.3935348987579346
1691356520.8101742,2820,1.5041534900665283
1691356691.8418229,2845,1.4618480205535889
1691356871.9387224,2865,1.4817975759506226
1691356922.0481262,2870,1.3912674188613892
1691358122.473309,2885,1.4030513763427734
1691358196.469857,2895,1.471423864364624
1691358274.2477486,2905,1.3956661224365234
1691358304.822603,2910,1.3680895566940308
1691358338.0171692,2915,1.4042396545410156
1691358370.506412,2920,1.3974884748458862
1691358437.2656415,2930,1.3725271224975586
1691358467.2659116,2935,1.437768578529358
1691358627.1130874,2960,1.4026691913604736
1691358654.647563,2965,1.4667913913726807
1691359791.2003233,3000,1.3894743919372559
1691359849.3573103,3010,1.439584732055664
1691360020.4800494,3040,1.3173991441726685
1691360075.5057182,3050,1.448302984237671
1691360191.7389572,3075,1.396180510520935
1691360333.8580618,3100,1.4384684562683105
1691360398.2338598,3110,1.5133941173553467
1691361605.0864203,3170,1.5030466318130493
1691361802.6987545,3205,1.3881806135177612
1691361833.9144745,3210,1.436824083328247
1691361898.2286975,3220,1.3631820678710938
1691361930.625425,3225,1.4267460107803345
1691361961.028434,3230,1.3787739276885986
1691361989.7750657,3235,1.316148042678833
1691362047.7722976,3245,1.4254900217056274
1691363001.0485168,3260,1.4277220964431763
1691363094.9295573,3280,1.432408332824707
1691363126.3642704,3285,1.3786176443099976
1691363238.4620242,3305,1.457122564315796
1691363315.0703142,3320,1.408859133720398
1691363428.8226788,3340,1.4021228551864624
1691363514.8920386,3355,1.4530974626541138
1691363534.5861573,3360,1.4251575469970703
1691363582.6180341,3370,1.461646318435669
1691364567.747388,3375,1.4501069784164429
1691364619.0936744,3385,1.3614555597305298
1691364647.4356165,3390,1.4483458995819092
1691364676.0907826,3395,1.4024839401245117
1691364764.5096614,3410,1.3988382816314697
1691364794.6373374,3415,1.3509938716888428
1691364824.4517431,3420,1.4392971992492676
1691364880.784102,3430,1.4497462511062622
1691364927.0856817,3440,1.4619489908218384
1691364954.6067514,3445,1.4148626327514648
1691365138.4588714,3480,1.3630313873291016
1691365226.7814898,3495,1.4495844841003418
1691366215.9630182,3515,1.4171319007873535
1691366306.9288578,3530,1.386231541633606
1691366372.6920128,3540,1.408969759941101
1691366435.668613,3550,1.420136570930481
1691366562.8592196,3570,1.3470319509506226
1691366690.4025438,3590,1.4308913946151733
1691366782.78434,3605,1.3720149993896484
1691366813.4290035,3610,1.4702816009521484
1691366846.4518611,3615,1.4012715816497803
1691366870.6793358,3620,1.4347972869873047
1691367893.839873,3650,1.3616068363189697
1691368059.4524379,3680,1.46097731590271
1691368120.5132995,3690,1.4169859886169434
1691368149.3823462,3695,1.4498615264892578
1691368271.9172735,3715,1.4493818283081055
1691368353.2321184,3730,1.4392855167388916
1691368385.415768,3735,1.3957229852676392
1691369340.959546,3750,1.3683264255523682
1691369362.6331892,3755,1.4378923177719116
1691369387.0045,3760,1.5009703636169434
1691369438.1723607,3770,1.416514277458191
1691369479.6478658,3780,1.3723440170288086
1691369612.9970894,3810,1.4689546823501587
1691369683.2635574,3825,1.4710049629211426
1691369703.5076754,3830,1.3939257860183716
1691369770.268385,3845,1.4469821453094482
1691369795.5535548,3850,1.509265422821045
1691369811.8883991,3855,1.3482826948165894
1691369862.9465485,3865,1.4525295495986938
1691369882.868111,3870,1.3737728595733643
1691370990.386128,3900,1.4505066871643066
1691371103.0434906,3920,1.410593032836914
1691371133.898698,3925,1.4312028884887695
1691371191.0233305,3935,1.4248900413513184
1691371239.1408858,3945,1.3963797092437744
1691371290.9904015,3955,1.4138908386230469
