Wall time,Step,Value
1691316582.2040532,25,117.24341583251953
1691316856.386696,55,84.28495788574219
1691316986.3779917,70,73.79191589355469
1691317027.9188802,75,68.92174530029297
1691317149.5743887,90,59.15313720703125
1691317375.5775335,120,48.363155364990234
1691318967.3618937,180,43.82366943359375
1691319114.6492343,200,38.505306243896484
1691319187.3789406,210,40.38799285888672
1691319260.8548799,220,36.320796966552734
1691319297.449606,225,38.776676177978516
1691319370.786399,235,34.72330093383789
1691320696.5680218,265,39.42975616455078
1691320732.073784,270,39.19844055175781
1691320767.8932903,275,39.024070739746094
1691320804.2247865,280,42.33448791503906
1691321119.8116727,325,34.090633392333984
1691321223.2347028,340,25.445110321044922
1691321327.6855803,355,28.15435791015625
1691321363.0474741,360,28.985387802124023
1691321397.6622334,365,25.562782287597656
1691321431.7775738,370,25.261892318725586
1691322659.918047,395,27.835838317871094
1691322936.8769517,435,31.71808624267578
1691323183.0415173,470,28.638566970825195
1691324523.5153267,510,30.28518295288086
1691324628.8138633,525,30.12370491027832
1691324663.593233,530,28.68113899230957
1691324904.665274,565,26.15257453918457
1691325078.002453,590,22.795166015625
1691326305.491159,630,24.540250778198242
1691326405.7137358,645,23.379335403442383
1691326439.554482,650,19.605249404907227
1691326745.282067,695,19.942346572875977
1691326813.4920628,705,21.6400146484375
1691326848.9991448,710,23.753931045532227
1691326883.7339478,715,22.380146026611328
1691328177.1831732,750,20.363866806030273
1691328344.911815,775,16.213655471801758
1691328411.159329,785,19.859357833862305
1691328445.4850414,790,21.02400779724121
1691328579.883236,810,19.917308807373047
1691328748.9761236,835,15.85980224609375
1691328782.8740296,840,17.48333168029785
1691328883.146906,855,16.049760818481445
1691330109.6641815,885,15.559603691101074
1691330143.5509534,890,14.716533660888672
1691330208.8049388,900,14.96896743774414
1691330309.0684638,915,16.649717330932617
1691330374.2263186,925,14.792016983032227
1691330407.681487,930,18.110898971557617
1691330472.9872248,940,14.117870330810547
1691330539.1214483,950,15.300116539001465
1691330571.9264784,955,15.210701942443848
1691330804.005931,990,14.885764122009277
1691332046.2172413,1030,15.549849510192871
1691332078.9898777,1035,14.378751754760742
1691332112.01141,1040,14.631824493408203
1691332243.0398724,1060,16.141908645629883
1691332573.2878098,1110,12.4635591506958
1691332606.783657,1115,14.29772663116455
1691333655.898589,1125,13.912705421447754
1691333786.8605301,1145,12.980118751525879
1691333885.8526897,1160,18.436120986938477
1691333919.578547,1165,18.82257652282715
1691333952.8357255,1170,17.520631790161133
1691334052.1728852,1185,13.092573165893555
1691334440.9122677,1245,11.387038230895996
1691335603.7823896,1275,11.545906066894531
1691335705.2342746,1290,11.97226619720459
1691335770.781849,1300,11.580891609191895
1691335800.8150833,1305,10.290276527404785
1691335866.9159904,1315,12.022335052490234
1691335997.9031749,1335,11.916304588317871
1691336128.7743895,1355,10.151623725891113
1691336193.159725,1365,10.594213485717773
1691337224.7209556,1390,11.923978805541992
1691337672.4911132,1460,15.587481498718262
1691337836.6381326,1485,12.662209510803223
1691337869.0210156,1490,12.054311752319336
1691338867.8553774,1510,12.139619827270508
1691338900.8166664,1515,13.436763763427734
1691339027.4694214,1535,8.148198127746582
1691339059.675053,1540,10.04139518737793
1691339124.4254453,1550,10.086316108703613
1691339211.7543473,1565,11.404212951660156
1691339371.704627,1590,9.870976448059082
1691339403.7364676,1595,10.576850891113281
1691339434.6699462,1600,13.626871109008789
1691340480.0950913,1625,11.589977264404297
1691340512.1537466,1630,11.242931365966797
1691340545.0086162,1635,10.751046180725098
1691340641.3578084,1650,9.14084529876709
1691340924.6599689,1695,12.884594917297363
1691340989.4335828,1705,11.310194969177246
1691341185.8222294,1735,10.151260375976562
1691342491.817061,1800,9.91222858428955
1691342615.566265,1815,9.927791595458984
1691342775.7858703,1835,9.538541793823242
1691342920.0619116,1855,9.447359085083008
1691342988.6432898,1865,8.411370277404785
1691344192.6204748,1885,9.115400314331055
1691344226.6354203,1890,9.9569091796875
1691344260.8312132,1895,8.804396629333496
1691344329.601072,1905,10.399834632873535
1691344501.0608752,1930,10.009015083312988
1691344666.9257653,1955,9.311479568481445
1691344698.813334,1960,7.340628147125244
1691346189.1286876,2040,9.756349563598633
1691346411.4599743,2075,7.626407623291016
1691346603.089209,2105,9.214548110961914
1691346635.3786788,2110,8.890373229980469
1691346693.2968216,2120,8.75259017944336
1691347845.7767358,2150,9.118157386779785
1691348097.1538785,2195,10.614967346191406
1691348162.5679173,2205,9.159826278686523
1691348192.3658452,2210,8.80954647064209
1691348276.009515,2225,7.388312339782715
1691349434.8098795,2255,8.031267166137695
1691349681.069092,2295,9.127140998840332
1691349711.9778008,2300,7.492178440093994
1691349801.8987892,2315,8.678108215332031
1691349833.6521616,2320,7.25404691696167
1691350089.5680823,2365,8.25291919708252
1691350121.9588938,2370,8.179933547973633
1691351348.3619537,2425,8.682714462280273
1691351441.1658788,2440,6.522022247314453
1691351473.4986072,2445,8.142138481140137
1691351532.399366,2455,6.845728397369385
1691351586.1560724,2465,6.999638557434082
1691352882.167418,2535,8.473199844360352
1691353038.7517989,2560,7.9212751388549805
1691353096.9138184,2570,7.372495651245117
1691353188.249202,2585,8.540674209594727
1691353249.0559611,2595,8.39697551727295
1691353395.2272367,2620,8.793054580688477
1691354381.9305382,2625,8.094303131103516
1691354565.7807524,2655,8.037049293518066
1691354619.2885704,2665,7.433493614196777
1691354642.5070426,2670,6.420289993286133
1691354700.6491115,2680,8.967461585998535
1691354723.324557,2685,6.841670989990234
1691354817.9352853,2700,8.492137908935547
1691354879.8286214,2710,8.126620292663574
1691355032.0557115,2735,7.666494369506836
1691355062.93996,2740,7.014747142791748
1691356298.0843825,2785,8.144079208374023
1691356366.0796006,2795,8.88711929321289
1691356492.2531931,2815,6.831573963165283
1691356520.8100762,2820,6.95923376083374
1691356691.8417072,2845,7.3570027351379395
1691356871.9382308,2865,9.81047534942627
1691356922.0480173,2870,10.29526424407959
1691358122.4732192,2885,8.934967041015625
1691358196.4655159,2895,8.258180618286133
1691358274.24766,2905,10.003275871276855
1691358304.8224733,2910,9.144610404968262
1691358338.01706,2915,9.70804500579834
1691358370.506319,2920,9.881671905517578
1691358437.2655468,2930,9.48802661895752
1691358467.26579,2935,8.521912574768066
1691358627.1129954,2960,8.720608711242676
1691358654.6474574,2965,8.261919021606445
1691359791.2001848,3000,8.701648712158203
1691359849.3571641,3010,6.945361137390137
1691360020.479955,3040,7.089234352111816
1691360075.5055852,3050,8.108743667602539
1691360191.7388623,3075,7.183382034301758
1691360333.8579707,3100,8.746173858642578
1691360398.2337658,3110,9.814754486083984
1691361605.0862906,3170,11.086302757263184
1691361802.6986623,3205,9.89118480682373
1691361833.914349,3210,10.473746299743652
1691361898.2286067,3220,8.001043319702148
1691361930.6253347,3225,9.1824951171875
1691361961.0283394,3230,9.227706909179688
1691361989.7749822,3235,6.5355048179626465
1691362047.7722018,3245,8.067059516906738
1691363001.048421,3260,7.829309463500977
1691363094.929468,3280,8.278504371643066
1691363126.3641353,3285,8.667609214782715
1691363238.4619348,3305,7.662919521331787
1691363315.0702236,3320,7.938697338104248
1691363428.8225863,3340,7.693389415740967
1691363514.8919444,3355,6.259871006011963
1691363534.58605,3360,7.233251571655273
1691363582.617907,3370,6.848398685455322
1691364567.7472975,3375,6.968898773193359
1691364619.0935788,3385,7.682455539703369
1691364647.435526,3390,7.611849308013916
1691364676.0906475,3395,7.725067615509033
1691364764.5095687,3410,9.938726425170898
1691364794.6372445,3415,7.554926872253418
1691364824.451606,3420,9.63747501373291
1691364880.7839792,3430,10.213706016540527
1691364927.085535,3440,10.57002067565918
1691364954.6066587,3445,7.680481433868408
1691365138.4587798,3480,6.509511470794678
