Wall time,Step,Value
1691342491.8172064,1800,1.7646484375
1691342615.56683,1815,1.5029296875
1691342775.7859786,1835,0.767578125
1691342920.0620234,1855,2.171875
1691342988.6434362,1865,1.7177734375
1691344192.6206048,1885,1.748046875
1691344226.6355376,1890,2.2119140625
1691344260.83138,1895,1.5654296875
1691344329.6011853,1905,2.9482421875
1691344501.061027,1930,2.5498046875
1691344666.9259176,1955,1.9384765625
1691344698.813475,1960,1.03515625
1691346189.1287973,2040,1.8447265625
1691346411.4601164,2075,1.275390625
1691346603.0893211,2105,1.5390625
1691346635.3787906,2110,1.060546875
1691346693.2969384,2120,1.376953125
1691347845.7769055,2150,1.103515625
1691348097.1540058,2195,1.62109375
1691348162.5680835,2205,1.4453125
1691348192.3659606,2210,0.970703125
1691348276.012776,2225,0.962890625
1691349434.8099976,2255,1.015625
1691349681.0692263,2295,1.8896484375
1691349711.9779258,2300,0.7607421875
1691349801.8989003,2315,1.326171875
1691349833.6522756,2320,0.37890625
1691350089.5682106,2365,0.84375
1691350121.9590416,2370,1.00390625
1691351348.3620687,2425,1.9443359375
1691351441.1659894,2440,0.64453125
1691351473.4987352,2445,1.3974609375
1691351532.3995273,2455,0.6943359375
1691351586.1561859,2465,1.05859375
1691352882.167574,2535,1.0771484375
1691353038.7519224,2560,0.966796875
1691353096.9139645,2570,0.705078125
1691353188.2493398,2585,1.265625
1691353249.0560756,2595,1.5693359375
1691353395.2273498,2620,1.2734375
1691354381.930675,2625,0.80859375
1691354565.7808607,2655,0.9169921875
1691354619.288678,2665,0.6220703125
1691354642.5101092,2670,0.45703125
1691354700.6492505,2680,1.755859375
1691354723.3246973,2685,0.43359375
1691354817.935414,2700,1.017578125
1691354879.8287451,2710,0.7001953125
1691355032.055826,2735,0.9248046875
1691355062.9400718,2740,0.4853515625
1691356298.0845199,2785,1.4501953125
1691356366.0797486,2795,1.5927734375
1691356492.2533367,2815,0.5078125
1691356520.8101945,2820,0.8408203125
1691356691.8418493,2845,0.357421875
1691356871.9389048,2865,1.2646484375
1691356922.0481591,2870,2.470703125
1691358122.4733434,2885,1.0888671875
1691358196.4698896,2895,1.279296875
1691358274.247768,2905,1.455078125
1691358304.8226466,2910,0.7529296875
1691358338.0172012,2915,1.3515625
1691358370.5064316,2920,1.021484375
1691358437.2656615,2930,1.9375
1691358467.265932,2935,0.8935546875
1691358627.113121,2960,1.103515625
1691358654.6475878,2965,0.4599609375
1691359791.200357,3000,1.0966796875
1691359849.3573575,3010,0.623046875
1691360020.4800684,3040,0.640625
1691360075.505753,3050,1.3310546875
1691360191.738983,3075,0.7021484375
1691360333.8580813,3100,1.6181640625
1691360398.2338803,3110,1.7236328125
1691361605.0864549,3170,0.6396484375
1691361802.6987739,3205,1.205078125
1691361833.9145033,3210,1.91796875
1691361898.2287173,3220,1.048828125
1691361930.6254516,3225,1.6875
1691361961.02847,3230,1.810546875
1691361989.775085,3235,0.5185546875
1691362047.772332,3245,0.8759765625
1691363001.0485375,3260,0.791015625
1691363094.929577,3280,0.658203125
1691363126.3643005,3285,1.2138671875
1691363238.4620438,3305,1.0009765625
1691363315.070334,3320,1.1640625
1691363428.822699,3340,1.015625
1691363514.8920586,3355,0.4326171875
1691363534.5861897,3360,0.8994140625
1691363582.6180797,3370,0.595703125
1691364567.747407,3375,0.6328125
1691364619.093694,3385,0.974609375
1691364647.4356358,3390,1.130859375
1691364676.0908065,3395,0.9404296875
1691364764.5096896,3410,2.1162109375
1691364794.6373572,3415,0.5947265625
1691364824.4517787,3420,1.345703125
1691364880.784133,3430,1.0625
1691364927.0857031,3440,0.9580078125
1691364954.6067715,3445,0.5517578125
1691365138.4588912,3480,0.505859375
1691365226.7815256,3495,1.16796875
1691366215.963039,3515,1.365234375
1691366306.928878,3530,1.70703125
1691366372.6920335,3540,1.3427734375
1691366435.668634,3550,2.1875
1691366562.8592536,3570,1.244140625
1691366690.402578,3590,1.2529296875
1691366782.784362,3605,1.123046875
1691366813.4290369,3610,0.5986328125
1691366846.4518816,3615,1.1494140625
1691366870.6793718,3620,0.8701171875
1691367893.8398933,3650,0.841796875
1691368059.4524746,3680,1.1552734375
1691368120.5133429,3690,0.7412109375
1691368149.3823688,3695,1.455078125
1691368271.917293,3715,0.5712890625
1691368353.2321377,3730,1.5947265625
1691368385.4158003,3735,0.990234375
1691369340.959581,3750,0.6318359375
1691369362.6332216,3755,0.3095703125
1691369387.0045211,3760,1.0146484375
1691369438.1723974,3770,0.2822265625
1691369479.6478858,3780,0.57421875
1691369612.9971142,3810,0.759765625
1691369683.2635782,3825,0.326171875
1691369703.5077078,3830,0.341796875
1691369770.2684042,3845,0.3603515625
1691369795.5536137,3850,0.2861328125
1691369811.8884182,3855,0.369140625
1691369862.9465897,3865,0.6416015625
1691369882.8681386,3870,0.7373046875
1691370990.3861582,3900,0.4716796875
1691371103.043524,3920,1.375
1691371133.8987188,3925,0.6796875
1691371191.023367,3935,0.8486328125
1691371239.1409054,3945,0.453125
1691371290.990421,3955,0.8564453125
1691371322.1188881,3960,0.736328125
1691371344.4447834,3965,0.3349609375
1691371366.1896663,3970,0.2705078125
1691371398.6228993,3975,0.8115234375
1691371466.354136,3990,1.04296875
1691372426.752105,4010,1.640625
1691372517.9506552,4025,1.5341796875
1691372582.982839,4035,1.7119140625
1691372615.2321138,4040,1.291015625
1691372647.549542,4045,1.6025390625
1691372831.2653918,4075,2.1318359375
1691372864.5973797,4080,1.7333984375
1691372929.300766,4090,2.6435546875
1691373027.3522367,4105,1.01953125
1691374000.78882,4125,1.13671875
1691374098.9103274,4140,1.25390625
1691374190.686725,4155,1.59765625
1691374222.9316454,4160,0.98046875
1691374271.1881177,4170,0.53515625
1691374317.4680586,4180,0.8505859375
1691374364.5871198,4190,0.736328125
1691374496.113681,4215,0.8369140625
1691374588.661195,4230,0.791015625
1691374640.4019325,4240,0.4580078125
1691375897.7628858,4315,0.5302734375
1691376008.5534995,4335,1.6171875
1691376071.4834397,4345,1.193359375
1691376101.4925172,4350,0.552734375
1691376227.638507,4370,1.1513671875
1691377136.019911,4380,1.0107421875
1691377231.5992022,4400,0.4912109375
1691377279.9466887,4410,1.0302734375
1691377327.2381403,4420,0.7197265625
1691377413.542148,4435,0.4287109375
1691377459.935281,4445,0.46875
1691377482.2345147,4450,0.662109375
1691377534.147154,4460,0.859375
1691377631.7261956,4480,0.5966796875
1691378595.1972969,4500,1.31640625
1691378796.4759152,4535,1.9345703125
1691378828.5675697,4540,1.78125
1691378861.749487,4545,1.35546875
1691378890.23348,4550,0.6015625
1691378950.5766826,4560,1.0283203125
1691379021.485577,4575,0.650390625
1691379051.6693988,4580,0.7021484375
1691379080.214158,4585,0.7353515625
1691379158.7284498,4600,1.41015625
1691379191.7723644,4605,0.8681640625
1691379219.4261434,4610,0.9404296875
1691379251.2675478,4615,0.7119140625
1691380331.3217487,4655,1.0234375
1691380363.6770236,4660,2.080078125
1691380457.3802195,4675,1.322265625
1691380677.470304,4710,1.3408203125
1691380762.6568267,4725,0.875
1691381830.151919,4765,0.96484375
1691381855.9776459,4770,0.505859375
1691381911.8626292,4780,0.6220703125
1691381932.7830968,4785,0.5986328125
1691381960.4011843,4790,1.0625
1691382031.9961932,4805,0.4052734375
1691382058.3239255,4810,0.4755859375
1691382116.1153743,4820,0.6015625
1691382170.2420528,4830,0.8681640625
1691382311.7770994,4855,0.92578125
1691382336.2000222,4860,0.6220703125
1691383299.0424998,4880,0.7119140625
1691383326.992056,4885,0.4375
1691383355.8740456,4890,0.767578125
1691383377.2344728,4895,0.45703125
1691383459.767435,4910,0.662109375
1691383480.8307066,4915,0.2763671875
1691383506.0755246,4920,0.2900390625
1691383590.0508347,4935,0.8466796875
1691383622.1603062,4940,0.765625
1691383847.52269,4980,0.6376953125
1691384826.0584743,5000,0.7529296875
1691384875.35646,5010,0.732421875
1691384934.1254487,5020,0.609375
1691384958.6565325,5025,0.521484375
1691385022.2167332,5040,0.373046875
1691385113.0483067,5060,0.365234375
1691385133.3158128,5065,0.4306640625
1691385161.282807,5070,0.9599609375
1691385251.0214233,5085,1.33203125
1691386319.4191806,5125,0.6650390625
1691386377.9624784,5135,0.7294921875
1691386468.2333004,5155,0.4755859375
1691386495.339007,5160,1.12109375
1691386572.0927422,5175,0.33984375
1691386623.9207559,5185,0.5205078125
1691386668.713546,5195,0.2119140625
1691386801.6660101,5220,0.736328125
1691387835.567946,5255,1.0556640625
1691387861.8472114,5260,0.5263671875
1691387932.9450626,5275,0.49609375
